origin_no	sort_id	token	number	frequency
1753	5235	passes	130547	2.873e-05
2320	5175	survived	130495	2.872e-05
1429	4835	studios	130481	2.872e-05
2214	5340	palm	130443	2.871e-05
2688	5254	mention	130371	2.870e-05
1817	21863	hen	130366	2.869e-05
1595	5583	belt	130359	2.869e-05
2207	5219	session	130265	2.867e-05
2171	5327	hoping	130231	2.866e-05
2083	4988	journalist	130227	2.866e-05
2126	6776	##ach	130207	2.866e-05
2039	5229	injured	130189	2.866e-05
2387	12403	spa	130166	2.865e-05
2020	5362	carefully	130144	2.865e-05
2452	5217	wheel	130090	2.863e-05
1965	4956	metropolitan	130064	2.863e-05
2319	18712	ky	130008	2.862e-05
2307	5286	grounds	129933	2.860e-05
2123	5630	decide	129932	2.860e-05
1970	5068	registered	129877	2.859e-05
2049	5436	plot	129822	2.857e-05
2464	5396	medium	129818	2.857e-05
3291	4581	lyrics	129773	2.856e-05
2235	7895	##ira	129732	2.856e-05
2427	25933	ama	129703	2.855e-05
1974	3682	piano	129684	2.854e-05
3010	7083	prayer	129671	2.854e-05
2095	5697	busy	129668	2.854e-05
1821	4479	1930	129651	2.854e-05
2129	6935	##ris	129565	2.852e-05
2275	10513	##yu	129473	2.850e-05
2326	5040	cathedral	129346	2.847e-05
2141	8865	##hal	129280	2.846e-05
2250	5370	shore	129182	2.843e-05
2225	5959	enjoy	129178	2.843e-05
1971	12631	kin	129154	2.843e-05
2056	5674	imagine	129131	2.842e-05
2497	5221	biggest	129124	2.842e-05
3006	5457	confused	129104	2.842e-05
2552	5240	regarded	129094	2.841e-05
2474	4554	1914	129042	2.840e-05
1320	5338	charged	128975	2.839e-05
2003	5582	##ning	128955	2.838e-05
2260	5531	concluded	128954	2.838e-05
2053	6371	##vin	128916	2.838e-05
3098	5191	worried	128868	2.836e-05
